job_id,pick_index,cycle_number,confidence,depth_mm,pick_u,pick_v,retries_used,grip_success
36a12b4c,1,1,0.9449,267.0,908.5,559.0,0,True
36a12b4c,2,2,0.9326,248.0,925.8,898.9,0,True
36a12b4c,3,3,0.9372,258.0,366.0,578.4,0,True
36a12b4c,4,4,0.9497,240.0,352.7,922.5,0,True
36a12b4c,5,5,0.9385,253.0,658.3,721.4,0,True
e1b1ec74,1,1,0.9269,265.0,942.3,545.1,0,True
e1b1ec74,2,2,0.9362,247.0,942.8,891.1,0,True
e1b1ec74,3,3,0.93,254.0,677.3,706.1,0,True
e1b1ec74,4,4,0.9373,263.0,421.4,552.4,0,True
e1b1ec74,5,5,0.9298,243.0,358.1,923.0,0,True
565d0028,1,1,0.9236,268.0,929.2,545.5,0,True
565d0028,2,2,0.9399,246.0,942.2,891.1,0,True
565d0028,3,3,0.9292,261.0,383.3,575.4,0,True
565d0028,4,4,0.9224,243.0,368.6,904.3,0,True
565d0028,5,5,0.9341,254.0,666.7,709.4,0,True
f2c3416c,1,1,0.9468,262.0,830.5,553.6,0,True
f2c3416c,2,2,0.9259,242.0,814.1,892.3,0,True
f2c3416c,3,3,0.9332,255.0,228.7,552.9,0,True
f2c3416c,4,4,0.9207,234.0,226.9,914.1,0,True
f2c3416c,5,5,0.9286,247.0,556.8,740.7,0,True
51fedfad,1,1,0.9268,251.0,1151.3,667.3,0,True
51fedfad,2,2,0.9242,236.0,1115.0,1017.8,0,True
51fedfad,3,3,0.9374,245.0,825.1,818.5,0,True
51fedfad,4,4,0.9183,233.0,529.2,1017.9,0,True
51fedfad,5,5,0.9387,252.0,554.8,675.1,0,True
da282032,1,1,0.9341,264.0,1012.5,459.5,0,True
da282032,2,2,0.9221,251.0,1030.4,779.7,0,True
da282032,3,3,0.9301,262.0,448.1,442.4,0,True
da282032,4,4,0.9199,243.0,441.1,766.4,0,True
da282032,5,6,0.9274,252.0,745.3,632.7,0,True
eae796af,1,1,0.9458,268.0,1000.4,476.2,0,True
eae796af,2,2,0.935,252.0,1008.6,784.9,0,True
eae796af,3,3,0.9284,263.0,770.9,603.9,0,True
eae796af,4,4,0.9283,266.0,517.5,472.5,0,True
eae796af,5,5,0.9252,249.0,465.6,799.2,0,True
3076550c,1,1,0.9435,268.0,954.4,539.6,0,True
3076550c,2,2,0.9341,249.0,969.2,880.9,0,True
3076550c,3,3,0.9298,262.0,421.5,515.4,0,True
3076550c,4,4,0.9272,245.0,389.2,847.3,0,True
3076550c,5,5,0.9204,255.0,692.0,688.7,0,True
92f6925d,1,1,0.9406,260.0,929.9,625.8,0,True
92f6925d,2,2,0.9351,270.0,1180.3,479.9,0,True
92f6925d,3,3,0.9401,268.0,690.8,439.5,0,True
92f6925d,4,4,0.9383,254.0,1203.1,810.5,0,True
92f6925d,5,5,0.9181,251.0,668.7,779.5,0,True
85684bef,1,1,0.924,261.0,1019.9,615.8,0,True
85684bef,2,2,0.9376,245.0,1006.2,960.7,0,True
85684bef,3,3,0.9265,255.0,739.4,757.7,0,True
85684bef,4,4,0.9383,258.0,491.4,602.8,0,True
85684bef,5,5,0.9343,241.0,461.4,955.0,0,True
